,created_at,author_id,text,sentiment
23,2022-12-01T19:00:32.000Z,1277705368584544258,"Most Mentioned Tickers

| 15 Minutes
$COSM
$MULN
$AMC
$COMS
$BBIG
​  
|  One Hour
$MULN
$AMC
$COMS
$TSLA
$COSM
​  
|  Today
$MULN
$TSLA
$AMC
$COSM
$AAPL
Last update: 12/01/22 01:59 PM EST",0.0
24,2022-12-01T19:00:27.000Z,17993893,"RT @compulyze: The insanity of this cannot be overstated $TSLA
Tesla has better financial health, growth &amp; future growth prospects, than an…",-2.29
25,2022-12-01T19:00:18.000Z,1354599142392295433,"⚠️ 𝘈𝘭𝘭 𝘚𝘵𝘰𝘤𝘬𝘴:

1. $SPY 🥇
2. $COMS 🥈
3. $TSLA 🥉
4. $RMED
5. $AAPL
6. $SPX
7. $AMC
8. $SNOW
9. $PDSB
10. $TOPS

Free Telegram:
https://t.co/SC95r38gPz

#fintwit #wallstreetbets #stocks

( Sorted by last hour ) https://t.co/Yrg5cPn9lw",-0.3
26,2022-12-01T19:00:17.000Z,1570891082032123907,"#1 Chatroom interms of 

alert,calls,Analysis

https://t.co/uZOoPk4ZQ8

🙀👁️
$SONO $CEMI $APT $NBY $CLSN $CHFS $MARK $SHLO $NIO $DLPN $WKHS $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA  $BOXL $AAPL $AYRO $BNGO https://t.co/L2gKMTaZhz",-4.19
27,2022-12-01T19:00:16.000Z,1403872491223846912,"r/WallStreetBets daily discussion mentions over the last hour (rank 1-10)
1. $SPY (35 mentions)
2. $NVDA (11)
3. $AMC (7)
4. $TSLA (7)
5. $SNOW (6)
6. $BB (6)
7. $NFLX (4)
8. $QQQ (4)
9. $ACT (4)
10. $META (4)
Full live &amp; historical data at https://t.co/QhRXWewKj5",-1.39
28,2022-12-01T19:00:13.000Z,2466947850,"$AAPL BOOM TOLD YA $150COMING 

149.13  NHOD NEXT 150.64

EVER SEEN $AAPL SHORT SQUEEZE? 

SHORTS TRAPPED

MANY SHORTING 145 WILL MAKE SQUEEZE BIGGER TO 150 LOL

WATCH LUNCH SHORT TRAP THEN SQUEEZE LOL

SORRY SHORTS BYE BYE

#EducationIsKey

$SPY $AMC $GME $NFLX $TSLA https://t.co/2wg6diahs1",-22.6
29,2022-12-01T19:00:06.000Z,1469091036228210690,"Unusual options contracts &amp; Vol/OI ratios 🚨

 $FCX 02/17 48c      39.6
 $MRK 12/02 112c     30.9
 $CCL 12/23 13c      29.7
 $NFLX 12/02 315p    28.0
 $TSLA 12/02 192.5p  27.4
 $PEP 12/02 187.5c   24.4
 $NVDA 12/09 200c    23.9
 $CRM 12/09 150c     22.9
 $COST 12/02 520c    21.8",0.0
30,2022-12-01T19:00:04.000Z,1479167778603085829,Trending now on FinTwit US $SPY -0.14% · $TSLA 0.18% · $AAPL 0.07% · $WISA 4.39% · $SNOW 6.38% · $QQQ -0.02% · $META 1.64% · $COMS 50.16% · $TMBR 15.17% · $AMC 18.26% · Here's more https://t.co/sbR59BA9ks,-1.1
31,2022-12-01T19:00:02.000Z,1466094669478125569,"https://t.co/t6kVcSK6IH

Stock market:
$SILVER +4.86% 📈
$NFLX +3.78% 📈
$GOLD +3.13% 📈
$TCS.NS +2.5% 📈

$CRM -9.39% 📉
$COST -6.45% 📉

#SILVER #NFLX #GOLD #TCS.NS #CRM #COST #TSLA #APPL #stocks #trading #investing https://t.co/xzbzDZRmvh",0.0
32,2022-12-01T19:00:02.000Z,1570380906166198272,I minted one!! Thanks! Its best collab with artblocks @mr_darkpunk @nzdangusau1 @RndtvWale @TSLA_FAN_420 @nevins_song @carlsdad_ @BlackHoleCats @goldie_mceve @nakamot12648207 @alessandrocostu @Healthygoe @Sb1100684 @EartyGeo @joshavata https://t.co/ZfPcPmSSZh,22.5
33,2022-12-01T19:00:02.000Z,1432829224419794946,"🚀 Today's Top 10 Active #Stocks 🚀
Thu, Dec 01, 2022 @ 02:00 PM EST
1. $APE (+3.42%)
2. $AMC (+20.86%)
3. $TSLA (+0.20%)
4. $FTCH (-34.41%)
5. $NIO (-4.32%)
6. $AAPL (+0.12%)
7. $AMZN (-0.81%)
8. $AMD (-0.85%)
9. $CCL (+1.21%)
10. $XPEV (-6.74%)",0.4
